美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
3,0,3,2,0,0,2,0,0,0,0,1,10,4,1,5,5,4,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.41437802112308,0
3,0,2,2,0,0,1,0,1,0,1,0,4,0,0,4,14,0,0,6,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.42599668409495,0
0,0,6,2,0,0,0,0,2,1,0,1,5,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.43761534706682,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.4492340100387,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.46085267301056,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.47247133598243,0
0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.4840899989543,0
0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,7,2,1,0,2,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.49570866192617,0
0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.50732732489804,0
1,0,0,1,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.51894598786991,0
0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.53056465084178,0
0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.54218331381365,0
0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,0,1,3,0,4,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.55380197678552,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.5654206397574,0
0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.57703930272928,0
1,0,0,0,0,0,2,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.58865796570115,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.60027662867302,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.61189529164488,0
1,0,3,4,0,0,0,0,1,1,0,0,0,0,0,2,8,1,0,2,0,0,0,0,0,3,0,0,0,0,39.6384317604284,116.62351395461675,0
2,0,4,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.63513261758862,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.6467512805605,0
2,0,4,2,0,0,1,0,0,0,0,0,5,0,0,6,5,1,0,2,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.65836994353236,0
0,0,2,0,0,0,5,0,0,0,0,2,1,0,0,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.66998860650423,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.6816072694761,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.69322593244797,0
1,0,1,2,0,0,0,0,1,0,0,4,3,0,0,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.70484459541984,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.71646325839171,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,4,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.72808192136358,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.73970058433547,0
0,0,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.75131924730734,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.7629379102792,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.77455657325108,0
0,0,0,6,0,3,0,0,2,0,0,0,2,0,0,5,1,4,0,1,0,0,2,0,0,0,0,0,0,0,39.6384317604284,116.78617523622295,0
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.64743755362004,115.96125016522012,0
0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.64743755362004,115.97286882819199,0
9,0,8,6,1,0,0,0,6,0,3,2,6,2,15,5,3,1,0,2,0,0,0,0,0,0,0,0,0,0,39.64743755362004,115.98448749116386,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,1,0,0,0,0,39.64743755362004,115.99610615413573,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.64743755362004,116.0077248171076,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,39.64743755362004,116.01934348007947,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,39.64743755362004,116.03096214305134,0
3,0,7,3,0,0,1,0,1,1,1,0,6,0,0,3,4,1,0,1,0,0,0,0,0,2,0,0,0,0,39.64743755362004,116.04258080602321,0
0,0,5,1,1,1,1,1,0,0,0,0,1,0,0,13,0,1,0,3,0,0,0,0,0,0,0,0,0,0,39.64743755362004,116.0541994689951,0
8,0,1,0,0,0,4,0,2,1,0,1,2,0,0,6,8,4,0,1,0,0,0,0,0,2,0,0,0,0,39.64743755362004,116.06581813196696,0
5,1,41,15,7,2,6,0,3,1,2,15,10,1,17,22,14,20,0,1,0,0,1,0,0,1,0,0,0,0,39.64743755362004,116.07743679493883,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39.64743755362004,116.0890554579107,0
0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.64743755362004,116.10067412088257,0
